Gene ID,Genomic Location (Gene),Product Description
PF3D7-0300700,"Pf3D7-03-v3:61,445..62,714(+)",rifin
PF3D7-0300800,"Pf3D7-03-v3:64,572..65,783(+)",rifin
PF3D7-0324400,"Pf3D7-03-v3:1,015,795..1,016,942(+)",rifin
PF3D7-0324500,"Pf3D7-03-v3:1,018,874..1,019,973(+)",rifin
PF3D7-0324600,"Pf3D7-03-v3:1,021,998..1,023,008(+)",stevor
PF3D7-0324800,"Pf3D7-03-v3:1,027,571..1,028,929(+)",rifin
PF3D7-0400300,"Pf3D7-04-v3:42,032..43,374(-)",rifin
PF3D7-0400500,"Pf3D7-04-v3:59,636..60,939(+)",rifin
PF3D7-0400700,"Pf3D7-04-v3:63,104..64,476(-)",rifin
PF3D7-0400800,"Pf3D7-04-v3:66,601..67,573(-)",stevor
PF3D7-0400900,"Pf3D7-04-v3:69,961..71,113(-)",rifin
PF3D7-0401000,"Pf3D7-04-v3:73,268..74,340(-)",rifin
PF3D7-0401200,"Pf3D7-04-v3:79,193..80,451(+)",rifin
PF3D7-0401300,"Pf3D7-04-v3:82,247..83,575(+)",rifin
PF3D7-0401400,"Pf3D7-04-v3:85,397..86,608(+)",rifin
PF3D7-0401500,"Pf3D7-04-v3:89,153..90,184(+)","stevor, pseudogene"
PF3D7-0401600,"Pf3D7-04-v3:92,576..93,809(-)",rifin
PF3D7-0401600,"Pf3D7-04-v3:92,576..93,809(-)",rifin
PF3D7-0402500,"Pf3D7-04-v3:155,877..156,984(+)","rifin, pseudogene"
PF3D7-0402600,"Pf3D7-04-v3:159,279..160,314(-)",stevor
PF3D7-0413200,"Pf3D7-04-v3:603,166..604,456(-)",rifin
PF3D7-0413300,"Pf3D7-04-v3:609,155..610,433(+)",rifin
PF3D7-0421200,"Pf3D7-04-v3:967,087..968,273(+)",rifin
PF3D7-0421500,"Pf3D7-04-v3:981,823..982,990(-)","rifin, pseudogene"
PF3D7-0425500,"Pf3D7-04-v3:1,146,672..1,147,697(-)",stevor
PF3D7-0425600,"Pf3D7-04-v3:1,149,274..1,150,188(+)","rifin, pseudogene"
PF3D7-0425700,"Pf3D7-04-v3:1,152,504..1,153,633(-)",rifin
PF3D7-0425900,"Pf3D7-04-v3:1,169,980..1,171,184(+)",rifin
PF3D7-0500300,"Pf3D7-05-v3:29,776..30,963(-)","rifin, pseudogene"
PF3D7-0500400,"Pf3D7-05-v3:33,056..34,378(-)",rifin
PF3D7-0500500,"Pf3D7-05-v3:36,464..37,564(-)",rifin
PF3D7-0500600,"Pf3D7-05-v3:39,443..40,488(-)","stevor, pseudogene"
PF3D7-0500700,"Pf3D7-05-v3:41,129..41,403(-)","rifin, pseudogene"
PF3D7-0532900,"Pf3D7-05-v3:1,326,245..1,327,429(+)",rifin
PF3D7-0533000,"Pf3D7-05-v3:1,329,555..1,330,808(+)","rifin, pseudogene"
PF3D7-0600300,"Pf3D7-06-v3:15,065..16,410(-)",rifin
PF3D7-0600500,"Pf3D7-06-v3:26,557..27,830(+)",rifin
PF3D7-0600700,"Pf3D7-06-v3:31,965..33,244(-)",rifin
PF3D7-0617500,"Pf3D7-06-v3:735,368..736,327(+)","rifin, pseudogene"
PF3D7-0617600,"Pf3D7-06-v3:738,259..739,265(-)",stevor
PF3D7-0617700,"Pf3D7-06-v3:741,269..742,406(-)",rifin
PF3D7-0631800,"Pf3D7-06-v3:1,329,771..1,330,963(+)",rifin
PF3D7-0631900,"Pf3D7-06-v3:1,333,013..1,334,035(+)",stevor
PF3D7-0632000,"Pf3D7-06-v3:1,336,146..1,337,473(+)",rifin
PF3D7-0632100,"Pf3D7-06-v3:1,338,218..1,339,417(-)",rifin
PF3D7-0632200,"Pf3D7-06-v3:1,341,307..1,342,595(-)",rifin
PF3D7-0632300,"Pf3D7-06-v3:1,347,341..1,348,571(+)",rifin
PF3D7-0632400,"Pf3D7-06-v3:1,350,724..1,352,087(+)",rifin
PF3D7-0632700,"Pf3D7-06-v3:1,371,501..1,372,861(+)",rifin
PF3D7-0700200,"Pf3D7-07-v3:30,097..31,269(+)",rifin
PF3D7-0700300,"Pf3D7-07-v3:33,585..34,804(-)",rifin
PF3D7-0700400,"Pf3D7-07-v3:36,922..37,927(-)",stevor
PF3D7-0700500,"Pf3D7-07-v3:40,288..41,453(-)",rifin
PF3D7-0700700,"Pf3D7-07-v3:45,559..46,607(+)","stevor, pseudogene"
PF3D7-0701100,"Pf3D7-07-v3:55,562..56,781(-)",rifin
PF3D7-0701300,"Pf3D7-07-v3:62,220..63,401(-)","rifin, pseudogene"
PF3D7-0701800,"Pf3D7-07-v3:75,918..77,055(-)",rifin
PF3D7-0711900,"Pf3D7-07-v3:525,063..526,320(-)","rifin, pseudogene"
PF3D7-0712200,"Pf3D7-07-v3:540,343..541,541(-)","rifin, pseudogene"
PF3D7-0712500,"Pf3D7-07-v3:562,906..564,160(-)","rifin, pseudogene"
PF3D7-0713000,"Pf3D7-07-v3:602,141..603,381(+)",rifin
PF3D7-0732000,"Pf3D7-07-v3:1,385,635..1,386,626(+)",stevor
PF3D7-0732200,"Pf3D7-07-v3:1,390,711..1,392,043(+)",rifin
PF3D7-0732300,"Pf3D7-07-v3:1,396,437..1,397,639(-)",rifin
PF3D7-0732400,"Pf3D7-07-v3:1,399,452..1,400,682(-)",rifin
PF3D7-0732500,"Pf3D7-07-v3:1,402,623..1,403,978(-)",rifin
PF3D7-0732700,"Pf3D7-07-v3:1,408,781..1,409,975(+)",rifin
PF3D7-0732900,"Pf3D7-07-v3:1,414,434..1,415,683(+)",rifin
PF3D7-0800400,"Pf3D7-08-v3:52,760..53,982(-)",rifin
PF3D7-0800500,"Pf3D7-08-v3:56,352..57,703(-)",rifin
PF3D7-0808800,"Pf3D7-08-v3:450,615..451,899(+)",rifin
PF3D7-0808900,"Pf3D7-08-v3:453,803..454,919(+)",rifin
PF3D7-0832000,"Pf3D7-08-v3:1,383,349..1,384,377(-)",stevor
PF3D7-0832400,"Pf3D7-08-v3:1,399,560..1,400,583(-)",stevor
PF3D7-0832500,"Pf3D7-08-v3:1,402,567..1,403,711(-)",rifin
PF3D7-0832600,"Pf3D7-08-v3:1,405,835..1,406,999(-)",stevor
PF3D7-0832800,"Pf3D7-08-v3:1,411,058..1,412,141(+)",rifin
PF3D7-0832900,"Pf3D7-08-v3:1,414,283..1,415,293(+)",stevor
PF3D7-0833000,"Pf3D7-08-v3:1,417,438..1,418,625(+)",rifin
PF3D7-0833100,"Pf3D7-08-v3:1,420,818..1,422,077(-)",rifin
PF3D7-0833200,"Pf3D7-08-v3:1,426,884..1,428,135(+)",rifin
PF3D7-0833400,"Pf3D7-08-v3:1,432,696..1,433,932(+)",rifin
PF3D7-0900200,"Pf3D7-09-v3:29,797..31,157(-)",rifin
PF3D7-0900300,"Pf3D7-09-v3:33,553..34,795(-)",rifin
PF3D7-0900400,"Pf3D7-09-v3:39,554..40,740(+)",rifin
PF3D7-0900500,"Pf3D7-09-v3:42,909..44,045(-)",rifin
PF3D7-0900600,"Pf3D7-09-v3:45,902..47,236(-)",rifin
PF3D7-0900700,"Pf3D7-09-v3:49,612..50,971(-)",rifin
PF3D7-0900900,"Pf3D7-09-v3:55,074..56,081(-)",stevor
PF3D7-0901000,"Pf3D7-09-v3:58,162..59,240(-)",rifin
PF3D7-0901100,"Pf3D7-09-v3:61,342..62,553(-)",rifin
PF3D7-0901300,"Pf3D7-09-v3:67,334..68,625(+)",rifin
PF3D7-0901400,"Pf3D7-09-v3:70,521..71,738(+)",rifin
PF3D7-0901500,"Pf3D7-09-v3:74,409..75,746(+)",rifin
PF3D7-0901600,"Pf3D7-09-v3:77,861..78,874(+)",stevor
PF3D7-0937300,"Pf3D7-09-v3:1,474,431..1,475,704(+)",rifin
PF3D7-0937400,"Pf3D7-09-v3:1,477,526..1,478,736(+)",rifin
PF3D7-0937500,"Pf3D7-09-v3:1,480,947..1,482,211(-)",rifin
PF3D7-0937700,"Pf3D7-09-v3:1,492,373..1,493,708(+)",rifin
PF3D7-1000200,"Pf3D7-10-v3:38,050..39,395(-)",rifin
PF3D7-1000300,"Pf3D7-10-v3:41,773..42,963(-)",rifin
PF3D7-1000400,"Pf3D7-10-v3:44,816..46,133(-)",rifin
PF3D7-1000500,"Pf3D7-10-v3:48,052..49,384(-)",rifin
PF3D7-1000600,"Pf3D7-10-v3:51,349..52,599(-)",rifin
PF3D7-1000800,"Pf3D7-10-v3:57,968..58,980(+)","stevor, pseudogene"
PF3D7-1040000,"Pf3D7-10-v3:1,599,900..1,601,077(+)",rifin
PF3D7-1040100,"Pf3D7-10-v3:1,602,935..1,603,989(+)",rifin
PF3D7-1040200,"Pf3D7-10-v3:1,605,930..1,606,953(+)",stevor
PF3D7-1040300,"Pf3D7-10-v3:1,609,063..1,610,422(+)",rifin
PF3D7-1040400,"Pf3D7-10-v3:1,612,530..1,613,735(+)",rifin
PF3D7-1040500,"Pf3D7-10-v3:1,615,804..1,617,070(+)",rifin
PF3D7-1040600,"Pf3D7-10-v3:1,619,086..1,620,244(+)",rifin
PF3D7-1040700,"Pf3D7-10-v3:1,622,368..1,623,684(+)",rifin
PF3D7-1040800,"Pf3D7-10-v3:1,625,772..1,626,824(+)",rifin
PF3D7-1040900,"Pf3D7-10-v3:1,628,914..1,630,023(+)",rifin
PF3D7-1041000,"Pf3D7-10-v3:1,632,398..1,633,665(+)",rifin
PF3D7-1041100,"Pf3D7-10-v3:1,635,596..1,636,779(+)",rifin
PF3D7-1041200,"Pf3D7-10-v3:1,639,171..1,640,518(+)",rifin
PF3D7-1100300,"Pf3D7-11-v3:45,056..46,233(+)",rifin
PF3D7-1100400,"Pf3D7-11-v3:48,112..49,307(+)",rifin
PF3D7-1100500,"Pf3D7-11-v3:51,623..52,751(-)",rifin
PF3D7-1100700,"Pf3D7-11-v3:56,792..57,840(+)","stevor, pseudogene"
PF3D7-1101100,"Pf3D7-11-v3:66,686..67,965(-)",rifin
PF3D7-1101200,"Pf3D7-11-v3:70,081..71,289(-)",rifin
PF3D7-1101300,"Pf3D7-11-v3:73,244..74,442(-)",rifin
PF3D7-1101400,"Pf3D7-11-v3:76,820..78,000(-)","rifin, pseudogene"
PF3D7-1149800,"Pf3D7-11-v3:2,006,706..2,007,829(+)",rifin
PF3D7-1149900,"Pf3D7-11-v3:2,009,875..2,010,902(+)",stevor
PF3D7-1150000,"Pf3D7-11-v3:2,012,989..2,014,316(+)",rifin
PF3D7-1150200,"Pf3D7-11-v3:2,018,714..2,019,967(-)",rifin
PF3D7-1150300,"Pf3D7-11-v3:2,021,854..2,023,034(-)",rifin
PF3D7-1200200,"Pf3D7-12-v3:26,321..27,687(-)",rifin
PF3D7-1200300,"Pf3D7-12-v3:30,078..31,261(-)",rifin
PF3D7-1200500,"Pf3D7-12-v3:43,800..45,106(-)",rifin
PF3D7-1253700,"Pf3D7-12-v3:2,190,483..2,191,770(-)",rifin
PF3D7-1254000,"Pf3D7-12-v3:2,201,495..2,202,686(+)",rifin
PF3D7-1254100,"Pf3D7-12-v3:2,204,724..2,205,714(+)",stevor
PF3D7-1254200,"Pf3D7-12-v3:2,207,830..2,209,115(+)",rifin
PF3D7-1254300,"Pf3D7-12-v3:2,211,543..2,212,554(+)",stevor
PF3D7-1254400,"Pf3D7-12-v3:2,214,671..2,216,019(+)",rifin
PF3D7-1254500,"Pf3D7-12-v3:2,218,452..2,219,533(+)",rifin
PF3D7-1254600,"Pf3D7-12-v3:2,221,835..2,222,848(+)",stevor
PF3D7-1254700,"Pf3D7-12-v3:2,224,997..2,226,201(-)",rifin
PF3D7-1254800,"Pf3D7-12-v3:2,228,632..2,229,740(-)",rifin
PF3D7-1255000,"Pf3D7-12-v3:2,234,600..2,235,792(+)",rifin
PF3D7-1255100,"Pf3D7-12-v3:2,238,210..2,239,417(+)",rifin
PF3D7-1300200,"Pf3D7-13-v3:30,605..31,881(-)",rifin
PF3D7-1300400,"Pf3D7-13-v3:47,583..48,769(+)",rifin
PF3D7-1300500,"Pf3D7-13-v3:50,662..51,857(+)",rifin
PF3D7-1300600,"Pf3D7-13-v3:54,067..55,259(-)",rifin
PF3D7-1300700,"Pf3D7-13-v3:57,109..58,422(-)",rifin
PF3D7-1300900,"Pf3D7-13-v3:62,515..63,547(-)",stevor
PF3D7-1372500,"Pf3D7-13-v3:2,854,544..2,855,568(-)","stevor, pseudogene"
PF3D7-1372600,"Pf3D7-13-v3:2,856,586..2,858,026(+)",rifin
PF3D7-1372700,"Pf3D7-13-v3:2,860,163..2,861,441(+)",rifin
PF3D7-1372800,"Pf3D7-13-v3:2,863,866..2,864,869(+)",stevor
PF3D7-1373000,"Pf3D7-13-v3:2,868,923..2,870,165(+)",rifin
PF3D7-1373100,"Pf3D7-13-v3:2,871,860..2,873,088(-)",rifin
PF3D7-1373300,"Pf3D7-13-v3:2,877,908..2,879,141(+)",rifin
PF3D7-1373400,"Pf3D7-13-v3:2,881,591..2,882,956(+)",rifin
PF3D7-1400200,"Pf3D7-14-v3:7,208..8,538(-)",rifin
PF3D7-1400300,"Pf3D7-14-v3:10,974..12,117(-)",rifin
PF3D7-1400400,"Pf3D7-14-v3:14,126..15,363(-)",rifin
PF3D7-1400500,"Pf3D7-14-v3:17,469..18,808(-)",rifin
PF3D7-1400600,"Pf3D7-14-v3:20,897..22,232(-)",rifin
PF3D7-1400700,"Pf3D7-14-v3:24,337..25,320(-)",stevor
PF3D7-1400800,"Pf3D7-14-v3:27,321..28,428(-)",rifin
PF3D7-1479400,"Pf3D7-14-v3:3,266,136..3,267,377(+)",rifin
PF3D7-1479500,"Pf3D7-14-v3:3,269,494..3,270,496(+)",stevor
PF3D7-1479600,"Pf3D7-14-v3:3,272,578..3,273,848(+)",rifin
PF3D7-1479700,"Pf3D7-14-v3:3,276,230..3,277,501(+)",rifin
PF3D7-1479800,"Pf3D7-14-v3:3,279,500..3,280,662(+)",rifin
PF3D7-1479900,"Pf3D7-14-v3:3,282,729..3,283,752(+)",stevor
PF3D7-1480000,"Pf3D7-14-v3:3,285,900..3,287,003(+)",rifin
