Gene ID,Genomic Location (Gene),Product Description
PF3D7-0900100,"Pf3D7-09-v3:20,080..27,885(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0937600,"Pf3D7-09-v3:1,486,070..1,490,187(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0937800,"Pf3D7-09-v3:1,495,579..1,503,336(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1000100,"Pf3D7-10-v3:28,490..36,164(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1041300,"Pf3D7-10-v3:1,642,401..1,649,948(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1100100,"Pf3D7-11-v3:24,160..31,598(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1100200,"Pf3D7-11-v3:32,666..42,386(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1150400,"Pf3D7-11-v3:2,025,817..2,035,886(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1200100,"Pf3D7-12-v3:16,973..24,497(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1200400,"Pf3D7-12-v3:32,703..41,940(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1219300,"Pf3D7-12-v3:766,654..774,197(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1240300,"Pf3D7-12-v3:1,694,150..1,703,087(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1240400,"Pf3D7-12-v3:1,704,512..1,712,490(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1240600,"Pf3D7-12-v3:1,719,574..1,727,456(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1240900,"Pf3D7-12-v3:1,735,543..1,743,408(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1255200,"Pf3D7-12-v3:2,241,271..2,248,962(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1300100,"Pf3D7-13-v3:21,364..28,787(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1300300,"Pf3D7-13-v3:33,959..44,742(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-1373500,"Pf3D7-13-v3:2,884,786..2,892,340(-)","erythrocyte membrane protein 1, PfEMP1"
